uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
301-redirect,301 Redirect,Permanent redirect|HTTP 301,,"A permanent redirect that sends users and search engines from one URL to another, transferring the original page's ranking power to the new location.",marketing-seo,,Source: seo-glossary.md,
a-b-testing,A/B Testing,Split Testing|AB Testing,,A method to compare two versions of a product or webpage to determine which performs better through controlled experiments.,product-management,,"Source: lean-startup-glossary.md, product-management-glossary.md",
accelerator,Accelerator,Startup Accelerator,,"A program designed to rapidly grow young startups through mentorship, education, and funding.",strategy-planning,,Source: lean-startup-glossary.md,
acceptance-criteria,Acceptance Criteria,Requirements|Conditions of Acceptance,,"The conditions that a software product must satisfy to be accepted by a user, customer, or stakeholder.",operations,,Source: product-management-glossary.md,
additional-rent,Additional Rent,Pass-Through Charges|Operating Expense Charges|Extra Rent|Expense Charges,,"Any costs for a tenant in addition to the minimum rent or base rent outlined in a lease agreement. Additional rent typically includes operating expenses, common area maintenance charges, property taxes, insurance premiums, and utilities that are passed through to tenants based on their proportionate share of the property.",leasing-tenancy,,Source: retail-property-glossary.md,
agile,Agile,Agile Methodology|Agile Development|Iterative Development|Flexible Development,,"A software development methodology that emphasizes iterative development, flexibility, and collaboration through short development cycles called sprints.",product-management,,"Source: lean-startup-glossary.md, product-management-glossary.md, software-dev-glossary.md",
ai-agent,AI Agent,Intelligent Agent|AI Assistant|Autonomous Agent|Software Agent,,"An autonomous software system that uses AI to perceive its environment, make decisions, and take actions to achieve specific goals with minimal human intervention.",ai-machine-learning,,Source: ai-glossary.md,
ai-overviews,AI Overviews,AIO|AIO|Google AI Overviews|AI-generated results|AI search results|Generative search experience,,"Google's AI-powered feature that generates comprehensive answers at the top of search results using generative AI technology, appearing in nearly 20% of searches and significantly impacting click-through rates.",marketing-seo,,Source: seo-glossary.md,
algorithm,Algorithm,Computational Method|Process|Procedure|Method,,"A step-by-step set of instructions or rules that a computer follows to solve problems, process data, or perform specific tasks in AI applications.",software-development,,"Source: ai-glossary.md, software-dev-glossary.md",
alt-text,Alt Text,Alternative text|Image alt attribute|Image description|Alt attribute,,"HTML code providing descriptive text for images, used by screen readers for accessibility and by search engines to understand image content, helping images rank in Google Images search.",marketing-seo,,Source: seo-glossary.md,
analytics,Analytics,Data Analytics|Business Analytics|Data Analysis|Statistical Analysis,,"The process of examining data to discover patterns, trends, and insights that support business decision-making and strategic planning.",data-management,,Source: data-management-glossary.md,
anchor-tenant,Anchor Tenant,Anchor Store|Key Tenant|Major Tenant|Draw Tenant|Primary Tenant,,"A large tenant that occupies the biggest portions of a shopping center's retail space and serves as the primary driver of foot traffic to the property. Anchor tenants are typically positioned at the ends of shopping centers and include major department stores, grocery stores, or big box retailers that attract customers who then shop at smaller inline stores.",property-management,,Source: retail-property-glossary.md,
anchor-text,Anchor Text,Link text|Hyperlink text|Link anchor|Clickable text,,"The visible, clickable text in a hyperlink that provides context about the linked page to users and search engines, requiring varied and natural usage to avoid over-optimization.",marketing-seo,,Source: seo-glossary.md,
angel-investor,Angel Investor,,,An individual providing early-stage capital to startups in exchange for equity or convertible debt.,strategy-planning,,Source: lean-startup-glossary.md,
annual-recurring-revenue,Annual Recurring Revenue,ARR|Annualized recurring revenue|Yearly recurring revenue,,"The value of the recurring revenue components of term subscriptions normalized to a one-year period, providing predictable revenue measurement for subscription-based businesses.",strategy-planning,,Source: business-plan-glossary.md,
answer-engine-optimization,Answer Engine Optimization,AEO|AEO|AI optimization|AI search optimization,,"The practice of optimizing content to be featured and cited by AI-powered answer engines like ChatGPT, Perplexity, and Google AI Overviews, with referral traffic from ChatGPT increasing 145x since June 2024.",marketing-seo,,Source: seo-glossary.md,
api,API,Application Programming Interface|Interface|Service Interface,,"A set of rules, protocols, and tools that enables different software applications to communicate and share data with AI systems and services.",software-development,,"Source: ai-glossary.md, product-management-glossary.md, software-dev-glossary.md",
api-gateway,API Gateway,Application Programming Interface Gateway|Service Gateway|API Proxy|Gateway Service|API Router,,"A server that acts as an entry point for API requests, managing routing, authentication, rate limiting, and other cross-cutting concerns for microservices.",software-development,,"Source: service-as-product-glossary.md, software-dev-glossary.md",
application-fee,Application Fee,Processing Fee|Screening Fee|Administrative Fee,,"A non-refundable fee charged to prospective tenants to cover the costs of processing rental applications, including credit checks, background verification, and administrative expenses.",property-management,,Source: retail-property-glossary.md,
appointment-booking-rate,Appointment Booking Rate,ABR|Booking Rate|Appointment Conversion Rate|Scheduling Rate|Appointment Success Rate,,"The percentage of qualified leads or opportunities that successfully schedule an appointment, calculated by dividing appointments booked by total qualified leads and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
appointment-to-customer-conversion-rate,Appointment-to-Customer Conversion Rate,ATCCR|A2C|Appointment Conversion Rate|Meeting-to-Sale Rate|Appointment Close Rate|Meeting Success Rate,,"The percentage of completed appointments that result in a closed sale or new customer relationship, calculated by dividing new customers by total completed appointments and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
appointments-scheduled-per-month,Appointments Scheduled Per Month,ASM|ASPM|Monthly Appointments|Monthly Bookings|Appointments Per Month|Monthly Schedule Count,,"The total count of new appointments added to the calendar within a monthly period, representing the volume of scheduled client interactions regardless of completion status.",marketing-seo,,Source: marketing-terms-glossary.md,
artifact,Artifact,Work Item|Output,,"A document or tool used in Agile frameworks like Scrum, such as product backlog or sprint backlog.",product-management,,Source: product-management-glossary.md,
artificial-intelligence,Artificial Intelligence,AI|Machine Intelligence|Cognitive Computing|Machine learning,,"The simulation of human intelligence in machines and computer systems that can perform tasks typically requiring human cognition, such as problem-solving, pattern recognition, decision-making, and language understanding.",ai-machine-learning,,"Source: ai-glossary.md, business-plan-glossary.md",
asset-management,Asset Management,AM|Real Estate Asset Management|Investment Management|Property Investment Oversight,,"The systematic process of operating, maintaining, and improving real estate investments to maximize their value and return on investment over time.",property-management,,Source: retail-property-glossary.md,
assignment-and-subletting,Assignment and Subletting,Assignment and Sublet Clause|Lease Transfer Provisions,,Legal provisions in a lease agreement that govern a tenant's right to transfer their lease obligations to another party (assignment) or rent space to a subtenant while remaining liable under the original lease (subletting).,leasing-tenancy,,Source: retail-property-glossary.md,
attention-mechanism,Attention Mechanism,Self-Attention|Multi-Head Attention|Attention Layer|Focus Mechanism,,"A neural network technique that allows AI models to focus on the most relevant parts of input data, particularly important in transformer architectures and natural language processing.",ai-machine-learning,,Source: ai-glossary.md,
authentication,Authentication,Auth|User Authentication|Identity Verification|Identity Verification|Login,,"The process of verifying the identity of a user, system, or application attempting to access a software system or resource.",platform-services,,Source: software-dev-glossary.md,
automation,Automation,Process Automation|Workflow Automation|Automated Process|Mechanization,,"The use of AI and technology to perform tasks and processes with minimal human intervention, improving efficiency and reducing manual work.",operations,,Source: ai-glossary.md,
