uri_slug,pref_label,source,definition_preview
a-b-testing,A/B Testing,lean-startup-glossary.md,A method to compare two versions of a product or webpage to determine which perf...
a-b-testing,A/B Testing,product-management-glossary.md,A method of comparing two versions of a webpage or app to determine which perfor...
agile,Agile,lean-startup-glossary.md,"A project management methodology emphasizing flexibility, iterative development,..."
agile,Agile,product-management-glossary.md,A project management and product development approach that prioritizes flexibili...
agile,Agile,software-dev-glossary.md,"A software development methodology that emphasizes iterative development, flexib..."
algorithm,Algorithm,ai-glossary.md,A step-by-step set of instructions or rules that a computer follows to solve pro...
algorithm,Algorithm,software-dev-glossary.md,A step-by-step procedure or set of rules designed to solve a specific problem or...
anchor-tenant,Anchor Tenant,retail-property-glossary.md,A large tenant that occupies the biggest portions of a shopping center's retail ...
anchor-tenant,Anchor Tenant,retail-property-glossary.md,"A major tenant in a retail property, typically a well-known national chain or de..."
api,API,ai-glossary.md,"A set of rules, protocols, and tools that enables different software application..."
api,API,product-management-glossary.md,A set of rules and protocols for building and interacting with software applicat...
api,API,software-dev-glossary.md,"A set of protocols, tools, and definitions that allow different software applica..."
api-gateway,API Gateway,service-as-product-glossary.md,"A service that acts as an entry point for multiple backend services, providing r..."
api-gateway,API Gateway,software-dev-glossary.md,"A server that acts as an entry point for API requests, managing routing, authent..."
artificial-intelligence,Artificial Intelligence,ai-glossary.md,The simulation of human intelligence in machines and computer systems that can p...
artificial-intelligence,Artificial Intelligence,business-plan-glossary.md,Technology that enables systems to simulate human intelligence processes such as...
base-rent,Base Rent,retail-property-glossary.md,"The minimum fixed rent amount a tenant pays to occupy commercial space, typicall..."
base-rent,Base Rent,retail-property-glossary.md,"The minimum fixed rental amount specified in a lease agreement, excluding additi..."
bounce-rate,Bounce Rate,marketing-terms-glossary.md,The percentage of single-page sessions where visitors leave the website without ...
bounce-rate,Bounce Rate,seo-glossary.md,The percentage of visitors leaving your website after viewing only one page with...
caching,Caching,data-management-glossary.md,A technique for storing frequently accessed data in high-speed storage locations...
caching,Caching,software-dev-glossary.md,The process of storing frequently accessed data in temporary storage locations t...
churn-rate,Churn Rate,marketing-terms-glossary.md,The percentage of customers who discontinue service or cease purchasing within a...
churn-rate,Churn Rate,product-management-glossary.md,The percentage of customers who stop using a product during a specific period.
classification,Classification,ai-glossary.md,A machine learning task that involves categorizing input data into predefined cl...
classification,Classification,data-management-glossary.md,The process of organizing data into categories or classes based on characteristi...
click-through-rate,Click-Through Rate,marketing-terms-glossary.md,"The percentage of ad impressions that result in clicks, calculated by dividing t..."
click-through-rate,Click-Through Rate,seo-glossary.md,The percentage of users clicking on your website after seeing it in search resul...
cloud-computing,Cloud Computing,ai-glossary.md,"The delivery of computing services including servers, storage, databases, and AI..."
cloud-computing,Cloud Computing,software-dev-glossary.md,"The delivery of computing services including servers, storage, databases, and so..."
co-tenancy-clause,Co-Tenancy Clause,retail-property-glossary.md,A lease provision that protects tenants by linking their lease obligations to th...
co-tenancy-clause,Co-Tenancy Clause,retail-property-glossary.md,"A lease provision that allows a tenant to reduce rent, terminate the lease, or e..."
common-area,Common Area,retail-property-glossary.md,Shared spaces within a commercial property that are used by all tenants and thei...
common-area,Common Area,retail-property-glossary.md,"Shared spaces within a property that are accessible to all tenants and visitors,..."
customer-acquisition-cost,Customer Acquisition Cost,business-plan-glossary.md,"The total cost of acquiring a new customer, including all marketing and sales ex..."
customer-acquisition-cost,Customer Acquisition Cost,lean-startup-glossary.md,"The total cost associated with acquiring a new customer, including all marketing..."
customer-acquisition-cost,Customer Acquisition Cost,marketing-terms-glossary.md,The total marketing and sales expenditure required to acquire a single new custo...
data-preprocessing,Data Preprocessing,ai-glossary.md,"The process of cleaning, transforming, and preparing raw data for AI model train..."
data-preprocessing,Data Preprocessing,data-management-glossary.md,"The process of cleaning, transforming, and preparing raw data for analysis by ha..."
database,Database,data-management-glossary.md,"An organized collection of structured information stored electronically, designe..."
database,Database,software-dev-glossary.md,An organized collection of structured data stored electronically in a computer s...
database-management-system,Database Management System,data-management-glossary.md,Software that provides an interface for users and applications to interact with ...
database-management-system,Database Management System,software-dev-glossary.md,Software that provides an interface for users and applications to interact with ...
deployment,Deployment,ai-glossary.md,"The process of making AI models available for use in production environments, in..."
deployment,Deployment,software-dev-glossary.md,The process of making software applications available for use in production envi...
encryption,Encryption,data-management-glossary.md,The process of converting data into a coded format to protect it from unauthoriz...
encryption,Encryption,software-dev-glossary.md,The process of converting readable data into encoded format to protect sensitive...
escalation-clause,Escalation Clause,retail-property-glossary.md,A lease provision that allows landlords to increase rent or other charges over t...
escalation-clause,Escalation Clause,retail-property-glossary.md,A lease provision that allows for automatic increases in rent based on predeterm...
framework,Framework,process-management-glossary.md,A conceptual structure that provides a systematic approach to organizing and und...
framework,Framework,software-dev-glossary.md,A pre-built software structure that provides a foundation for developing applica...
go-to-market-strategy,Go-To-Market Strategy,business-plan-glossary.md,A plan that specifies how a company will reach target customers and achieve comp...
go-to-market-strategy,Go-to-Market Strategy,service-as-product-glossary.md,A comprehensive plan that outlines how a service will reach target customers and...
gross-lease,Gross Lease,retail-property-glossary.md,A lease structure where tenants pay a single amount that covers base rent and al...
gross-lease,Gross Lease,retail-property-glossary.md,A lease agreement where the tenant pays a fixed rent amount and the landlord is ...
hypothesis,Hypothesis,lean-startup-glossary.md,An assumption or educated guess made by startups to be validated through experim...
hypothesis,Hypothesis,product-management-glossary.md,A proposed explanation or assumption that guides product experiments or decision...
integration,Integration,ai-glossary.md,"The process of connecting AI systems with existing applications, databases, and ..."
integration,Integration,software-dev-glossary.md,"The process of combining different software components, systems, or services to ..."
intellectual-property,Intellectual Property,business-plan-glossary.md,"Proprietary tools, content, processes, and systems that provide competitive adva..."
intellectual-property,Intellectual Property,lean-startup-glossary.md,"Legal rights protecting creations of the mind, including patents, trademarks, an..."
