prd_name,prd_path,requirement_id,requirement_description,status,user_doc_required,user_doc_present,user_doc_filename,dev_doc_required,dev_doc_present,dev_doc_filename,comments
"Enterprise Glossary Management System",docs/prds/prd.md,FR-001,"Full-text search across all terms, definitions, and labels",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"SKOSMOS + Jena Lucene text index; verified via test-search.sh"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-002,"Stable, dereferenceable URI for each term",done,no,-,-,yes,yes,docs/design-architecture.md,"URI pattern: http://glossary.example.org/terms/{slug}"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-003,"SKOS term relationships (broader, narrower, related, synonyms)",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"25 terms with full SKOS relationships in enterprise-glossary.ttl"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-004,"SPARQL endpoint for programmatic vocabulary queries",done,no,-,-,yes,yes,docs/design-architecture.md,"Fuseki at :3030/skosmos/sparql; verified via test-sparql-queries.sh"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-005,"REST API for external system integration",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"SKOSMOS REST at :9090/rest/v1/; verified via test-rest-api.sh"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-006,"Import and export in CSV and RDF/Turtle formats",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"csv-to-skos.py + skos-to-csv.py + load-data.sh + export-data.sh; no web UI"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-007,"Role-based access control for term creation, editing, and approval",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"Nginx gateway with 3-tier RBAC (anonymous/editor/admin); verified via test-rbac.sh"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-008,"Version history and audit trail for all term changes",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"snapshot.sh + audit-log.py; manifest-based versioning with JSON change logs"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-009,"Multilingual labels and definitions per term",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"en/es/fr labels on key terms; SKOSMOS language dropdown; verified via test-multilingual.sh"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-010,"Web-based browsing interface for vocabulary hierarchy",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"SKOSMOS UI at :9090 with top concept navigation"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-011,"Bulk term loading from structured data sources",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"load-data.sh + csv-to-skos.py + template.csv"
"Enterprise Glossary Management System",docs/prds/prd.md,FR-012,"Versioned, timestamped glossary snapshots for export",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"snapshot.sh with auto-versioning and manifest.json tracking"
"Enterprise Glossary Management System",docs/prds/prd.md,NFR-001,"Search P95 < 500ms",done,no,-,-,yes,yes,docs/design-architecture.md,"Lucene text index + Varnish 5min TTL cache; health-check.sh measures latency"
"Enterprise Glossary Management System",docs/prds/prd.md,NFR-002,"10,000+ terms scalability",done,no,-,-,yes,yes,docs/design-architecture.md,"TDB2 persistent storage designed for scale"
"Enterprise Glossary Management System",docs/prds/prd.md,NFR-003,"99.5% availability",partial,no,-,-,yes,yes,docs/design-architecture.md,"Health checks + restart policies + monitoring script; no HA clustering or failover"
"Enterprise Glossary Management System",docs/prds/prd.md,NFR-004,"RBAC security enforcement",done,yes,yes,README.md,yes,yes,docs/design-architecture.md,"Nginx gateway enforces auth on write/admin endpoints; verified via test-rbac.sh"
"Enterprise Glossary Management System",docs/prds/prd.md,NFR-005,"W3C SKOS compliance",done,no,-,-,yes,yes,docs/design-architecture.md,"validate-skos.py passes; CI/CD validates on every push"
"Enterprise Glossary Management System",docs/prds/prd.md,NFR-006,"Data integrity with audit records",done,no,-,-,yes,yes,docs/design-architecture.md,"TDB2 persistent storage + automated backups with retention + snapshot versioning"
